"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","College",10061596,11471956,2957836,796395,1375259,2138931,1632924,2570611,1410360,1045787,274880,89693
"1989:Q3","SomeCollege",3927279,4680315,1489569,423635,332303,829106,533506,1072196,753035,539224,192186,21625
"1989:Q3","HS",4187124,4901022,1527511,483014,256791,1015207,542695,1075804,713898,464452,228102,21344
"1989:Q3","NoHS",2243904,2499186,917036,193305,87111,489951,269292,542491,255282,161227,89039,5016
"1989:Q4","College",10465740,11937024,3120207,815168,1432202,2220931,1668129,2680387,1471284,1089072,292828,89385
"1989:Q4","SomeCollege",4010214,4753047,1509219,431701,339140,868709,534458,1069820,742834,528666,192837,21331
"1989:Q4","HS",4110504,4853247,1477199,481309,255178,1024394,538328,1076837,742742,487299,234622,20821
"1989:Q4","NoHS",2217849,2467723,887692,197597,87031,487360,264880,543163,249873,155078,88998,5797
"1990:Q1","College",10872141,12402914,3228550,844825,1386463,2338783,1757448,2846846,1530773,1142954,295661,92158
"1990:Q1","SomeCollege",3938148,4698964,1534944,437426,306448,882729,507088,1030327,760816,551077,186820,22919
"1990:Q1","HS",4008803,4739154,1449435,484868,226932,1023177,510638,1044104,730351,483716,226048,20587
"1990:Q1","NoHS",2123232,2370357,885204,200010,74771,435624,249625,525123,247125,157165,83791,6169
"1990:Q2","College",11490581,13085746,3341450,866034,1492195,2486415,1883357,3016294,1595165,1196384,306336,92444
"1990:Q2","SomeCollege",3894992,4649135,1536624,444100,291300,923538,465415,988158,754143,544261,186835,23047
"1990:Q2","HS",3830732,4577991,1410975,480520,215374,1014929,461168,995025,747259,503642,223525,20093
"1990:Q2","NoHS",1955260,2194517,847818,201856,65398,361905,223541,493999,239257,151124,82016,6117
"1990:Q3","College",11701931,13346093,3391327,890442,1260585,2630084,1957651,3216005,1644162,1235043,320527,88592
"1990:Q3","SomeCollege",3749523,4517306,1555978,445254,235160,896696,439470,944749,767784,567300,180178,20306
"1990:Q3","HS",3731410,4475473,1402366,482939,171814,1009339,442369,966646,744062,492652,232095,19315
"1990:Q3","NoHS",1835757,2072935,836568,197612,49532,302140,213000,474083,237178,151742,79502,5934
"1990:Q4","College",11877048,13568958,3421107,914497,1400173,2638713,1928995,3265472,1691910,1266510,333151,92249
"1990:Q4","SomeCollege",3898891,4680352,1547930,446706,274526,961210,468051,981929,781461,577735,182491,21235
"1990:Q4","HS",3789721,4537034,1379348,479109,196761,1036178,453532,992106,747313,497418,230881,19013
"1990:Q4","NoHS",1874488,2105963,822742,198807,58636,320596,213962,491219,231475,147592,77869,6015
"1991:Q1","College",11907359,13631400,3500306,939142,1579923,2582686,1840231,3189112,1724040,1298544,330527,94970
"1991:Q1","SomeCollege",4190092,4968107,1555706,452786,342989,1046179,528053,1042395,778015,572891,183723,21401
"1991:Q1","HS",3927712,4679358,1374610,474353,240735,1070124,484323,1035214,751647,518281,214367,18999
"1991:Q1","NoHS",1971733,2190809,782227,201548,76386,383544,222219,524885,219075,139437,73590,6048
"1991:Q2","College",12167030,13938865,3548946,957679,1588021,2689597,1891778,3262844,1771834,1340454,336591,94789
"1991:Q2","SomeCollege",4137263,4924664,1565665,455072,332186,1058878,506252,1006611,787401,584735,181794,20872
"1991:Q2","HS",3846698,4605095,1382157,471637,233995,1061123,457498,998685,758397,527906,212027,18464
"1991:Q2","NoHS",1887804,2101395,754445,199320,69858,370947,206428,500397,213591,137018,70894,5679
"1991:Q3","College",12352390,14155771,3558736,978587,1697673,2749356,1889781,3281638,1803381,1360189,342376,100816
"1991:Q3","SomeCollege",4185831,4998200,1574976,454713,357616,1097060,507688,1006147,812369,605801,181918,24650
"1991:Q3","HS",3891955,4628206,1400306,470499,252945,1064646,445104,994706,736252,509073,208623,18556
"1991:Q3","NoHS",1889003,2102790,749657,199644,72792,389877,196164,494656,213787,138905,69584,5299
"1991:Q4","College",12400048,14252509,3596168,992987,1946356,2724616,1787843,3204538,1852462,1392093,352176,108193
"1991:Q4","SomeCollege",4481018,5313684,1597952,456996,450917,1168189,563778,1075851,832666,618635,185528,28502
"1991:Q4","HS",4090681,4836796,1438925,467028,318618,1104944,472746,1034535,746116,518892,208467,18757
"1991:Q4","NoHS",1949022,2161437,716067,200378,94037,436073,201483,513400,212415,137736,69410,5269
"1992:Q1","College",12426859,14301950,3669900,1003355,1870551,2797819,1771410,3188915,1875091,1421192,347385,106515
"1992:Q1","SomeCollege",4546321,5374868,1610191,464077,460466,1200688,580456,1058991,828547,620951,180382,27214
"1992:Q1","HS",4171635,4919779,1475312,467599,327965,1143665,480801,1024436,748144,529301,199745,19098
"1992:Q1","NoHS",1871442,2078668,690224,197065,93218,398640,199687,499834,207227,136277,65842,5108
"1992:Q2","College",12502508,14400132,3685189,1014073,1847151,2892797,1775232,3185690,1897624,1436614,350386,110624
"1992:Q2","SomeCollege",4584916,5422506,1605010,472401,473375,1243518,577016,1051186,837590,627897,180174,29519
"1992:Q2","HS",4231940,4989284,1516255,470666,343698,1173449,468805,1016411,757345,540603,197211,19531
"1992:Q2","NoHS",1787785,1993225,672080,195938,90878,364682,189166,480481,205440,135581,64562,5297
"1992:Q3","College",12388786,14299413,3653209,1022970,1846075,2935334,1711024,3130800,1910627,1443284,356513,110831
"1992:Q3","SomeCollege",4781519,5659441,1634300,475137,536575,1298854,620824,1093751,877922,666037,183196,28688
"1992:Q3","HS",4485689,5248376,1608148,477606,396610,1219230,492190,1054590,762687,544751,198402,19534
"1992:Q3","NoHS",1799900,2010994,668330,195828,101110,372580,191601,481544,211094,141255,63822,6017
"1992:Q4","College",12551849,14495818,3696557,1026376,2085782,2969723,1639774,3077606,1943969,1471616,359204,113149
"1992:Q4","SomeCollege",4984536,5884884,1660990,485665,612551,1355018,653253,1117406,900348,678626,194304,27417
"1992:Q4","HS",4651340,5425977,1601892,487056,438822,1288578,515670,1093959,774637,548913,205222,20502
"1992:Q4","NoHS",1868157,2080395,683542,194158,115553,378151,201531,507461,212237,141198,66038,5001
"1993:Q1","College",12775601,14726465,3766327,1017154,2182252,3023910,1662128,3074694,1950865,1487583,343777,119505
"1993:Q1","SomeCollege",5073613,5948324,1651131,505677,633832,1372970,657472,1127242,874711,644950,200500,29261
"1993:Q1","HS",4628949,5440535,1578783,493195,445854,1312605,521071,1089026,811586,592080,197740,21766
"1993:Q1","NoHS",1892236,2091371,657814,190374,115213,420501,205071,502398,199135,129575,65245,4315
"1993:Q2","College",12718835,14685573,3771558,1018422,2196350,3047890,1623881,3027471,1966738,1505367,340682,120689
"1993:Q2","SomeCollege",5170130,6073846,1686025,519364,667295,1385197,684900,1131066,903717,667379,208943,27394
"1993:Q2","HS",4779227,5607189,1612406,510319,461544,1357621,549708,1115591,827962,602513,202804,22646
"1993:Q2","NoHS",1956464,2159185,673916,188147,118975,448908,218228,511011,202721,132570,66233,3919
"1993:Q3","College",12720528,14703141,3756282,1018144,2277475,3074289,1591894,2985057,1982614,1512287,342113,128213
"1993:Q3","SomeCollege",5294961,6239336,1720604,532086,717692,1407688,712141,1149125,944374,694553,220357,29465
"1993:Q3","HS",4959507,5809776,1657753,528177,491839,1405554,576523,1149930,850270,614906,211718,23645
"1993:Q3","NoHS",2026324,2234982,697494,187472,125224,474751,230552,519490,208658,136271,68479,3908
"1993:Q4","College",12559104,14560941,3765151,1017072,2325363,3057232,1495368,2900756,2001837,1517883,350566,133388
"1993:Q4","SomeCollege",5525995,6496762,1747485,550631,790330,1436130,772844,1199341,970766,705574,234600,30593
"1993:Q4","HS",5219102,6110460,1701965,547264,536941,1469391,630344,1224555,891358,638502,228135,24721
"1993:Q4","NoHS",2113935,2327855,706924,187111,137318,497645,253648,545209,213921,137219,72868,3834
"1994:Q1","College",12668485,14662212,3795016,1005837,2195154,3117601,1535616,3012988,1993727,1517150,341108,135469
"1994:Q1","SomeCollege",5544223,6506540,1757431,572268,774965,1421384,768569,1211922,962317,693390,239654,29273
"1994:Q1","HS",5261300,6205354,1735486,564779,524976,1509079,645478,1225556,944054,687415,230563,26076
"1994:Q1","NoHS",2084979,2293130,696081,183153,128532,494473,263753,527139,208151,131514,72551,4086
"1994:Q2","College",13148238,15152956,3795388,1001193,2196570,3239007,1725301,3195498,2004718,1522071,345091,137556
"1994:Q2","SomeCollege",5365159,6351617,1779525,590476,734313,1407474,697670,1142158,986458,705948,251938,28572
"1994:Q2","HS",5196333,6181391,1786270,584814,501979,1520115,600364,1187848,985058,712194,245210,27654
"1994:Q2","NoHS",2008368,2223431,708985,183064,111476,475910,249428,494568,215062,134409,76342,4312
"1994:Q3","College",13318127,15329600,3757814,1000337,2238225,3299106,1785436,3248683,2011473,1522677,351213,137583
"1994:Q3","SomeCollege",5395778,6423230,1805043,604756,750414,1433075,682278,1147665,1027452,733942,266930,26580
"1994:Q3","HS",5308912,6320965,1846351,604987,515667,1561340,591283,1201337,1012053,722587,260503,28963
"1994:Q3","NoHS",2021193,2248885,738330,186419,108699,476315,248524,490597,227692,141843,81307,4541
"1994:Q4","College",13677850,15712483,3733298,993396,2240939,3376472,1916114,3452265,2034633,1526454,363818,144361
"1994:Q4","SomeCollege",5294140,6357399,1814620,619404,729239,1429785,637258,1127093,1063259,750872,282626,29761
"1994:Q4","HS",5320616,6379394,1894637,623495,505542,1596567,564720,1194433,1058778,741218,286923,30637
"1994:Q4","NoHS",1942690,2182870,763504,187868,98190,421179,241765,470364,240180,147396,87801,4983
"1995:Q1","College",14012819,16032835,3709696,990823,2403950,3435296,2005103,3487968,2020016,1520294,357067,142655
"1995:Q1","SomeCollege",5381377,6458683,1828529,635252,763117,1470142,619589,1142055,1077307,757036,293202,27068
"1995:Q1","HS",5396026,6476798,1944048,639554,533842,1623467,545317,1190571,1080772,764491,284145,32136
"1995:Q1","NoHS",1969064,2214808,769798,195071,98485,452118,236363,462972,245744,150105,90132,5507
"1995:Q2","College",14038911,16066566,3649160,987047,2534171,3446241,2004680,3445267,2027656,1519219,364133,144303
"1995:Q2","SomeCollege",5565581,6692465,1874470,640363,826470,1535869,638825,1176468,1126884,791754,308471,26658
"1995:Q2","HS",5620336,6716014,2017451,652423,579822,1682557,553593,1230169,1095678,766707,295140,33832
"1995:Q2","NoHS",2049252,2311725,784048,204486,106982,491385,242812,482011,262473,160622,95382,6469
"1995:Q3","College",14063082,16118094,3630461,980879,2690763,3445161,1987367,3383463,2055012,1529908,374063,151041
"1995:Q3","SomeCollege",5798493,6969253,1913499,645841,906565,1600695,673809,1228844,1170760,816197,323923,30640
"1995:Q3","HS",5848094,6966635,2078517,662546,636863,1744821,574389,1269498,1118540,773052,309947,35541
"1995:Q3","NoHS",2154401,2434274,790659,215723,119820,548558,255544,503970,279873,170614,101666,7592
"1995:Q4","College",14237704,16325191,3658510,1000234,2886831,3516309,1919859,3343448,2087487,1539091,395297,153099
"1995:Q4","SomeCollege",6053593,7262147,1942975,653803,983916,1633776,733339,1314338,1208554,835098,344016,29439
"1995:Q4","HS",6070894,7218719,2109713,667909,695981,1779135,626026,1339954,1147824,783895,325282,38647
"1995:Q4","NoHS",2176022,2448367,778279,207308,125430,567535,258529,511287,272345,161840,103565,6940
"1996:Q1","College",14258861,16387280,3720765,1022974,2977980,3573420,1823551,3268591,2128420,1566917,396821,164682
"1996:Q1","SomeCollege",6334785,7573562,1976765,663674,1042126,1671832,802095,1417069,1238777,853193,351729,33855
"1996:Q1","HS",6314214,7470705,2136818,673613,739872,1822903,684342,1413157,1156490,804485,314448,37558
"1996:Q1","NoHS",2195039,2453845,758201,202162,129286,577473,263147,523574,258806,153711,99209,5886
"1996:Q2","College",14496213,16673425,3759863,1040948,3115041,3664073,1812978,3280523,2177212,1596960,411449,168803
"1996:Q2","SomeCollege",6426400,7711299,2003405,664636,1067708,1696529,818385,1460637,1284900,884522,365463,34914
"1996:Q2","HS",6427954,7586963,2161531,675130,763439,1852820,700717,1433325,1159009,798107,320578,40324
"1996:Q2","NoHS",2152829,2409631,767819,198117,125972,554514,252262,510947,256802,152072,99088,5642
