"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","College",49.3,48.7,42.9,42,67,47.8,54.8,48.9,45,47.3,35.1,65.1
"1989:Q3","SomeCollege",19.2,19.9,21.6,22.3,16.2,18.5,17.9,20.4,24,24.4,24.5,15.7
"1989:Q3","HS",20.5,20.8,22.2,25.5,12.5,22.7,18.2,20.4,22.8,21,29.1,15.5
"1989:Q3","NoHS",11,10.6,13.3,10.2,4.2,11,9,10.3,8.1,7.3,11.4,3.6
"1989:Q4","College",50.3,49.7,44.6,42.3,67.8,48.3,55.5,49.9,45.9,48.2,36.2,65.1
"1989:Q4","SomeCollege",19.3,19.8,21.6,22.4,16,18.9,17.8,19.9,23.2,23.4,23.8,15.5
"1989:Q4","HS",19.8,20.2,21.1,25,12.1,22.3,17.9,20.1,23.2,21.6,29,15.2
"1989:Q4","NoHS",10.7,10.3,12.7,10.3,4.1,10.6,8.8,10.1,7.8,6.9,11,4.2
"1990:Q1","College",51.9,51.2,45.5,42.9,69.5,50,58.1,52.3,46.8,49,37.3,65
"1990:Q1","SomeCollege",18.8,19.4,21.6,22.2,15.4,18.9,16.8,18.9,23.3,23.6,23.6,16.2
"1990:Q1","HS",19.1,19.6,20.4,24.6,11.4,21.9,16.9,19.2,22.3,20.7,28.5,14.5
"1990:Q1","NoHS",10.1,9.8,12.5,10.2,3.7,9.3,8.3,9.6,7.6,6.7,10.6,4.3
"1990:Q2","College",54.3,53.4,46.8,43.5,72.3,51.9,62.1,54.9,47.8,49.9,38.4,65.2
"1990:Q2","SomeCollege",18.4,19,21.5,22.3,14.1,19.3,15.3,18,22.6,22.7,23.4,16.3
"1990:Q2","HS",18.1,18.7,19.8,24.1,10.4,21.2,15.2,18.1,22.4,21,28,14.2
"1990:Q2","NoHS",9.2,9,11.9,10.1,3.2,7.6,7.4,9,7.2,6.3,10.3,4.3
"1990:Q3","College",55.7,54.7,47.2,44.2,73.4,54.4,64.1,57.4,48.5,50.5,39.5,66
"1990:Q3","SomeCollege",17.8,18.5,21.7,22.1,13.7,18.5,14.4,16.9,22.6,23.2,22.2,15.1
"1990:Q3","HS",17.8,18.3,19.5,24,10,20.9,14.5,17.3,21.9,20.1,28.6,14.4
