"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Silent",78.5,73.5,67.2,56.9,81.6,78,73,81,41.3,38.9,41.2,80.2
"1989:Q3","BabyBoom",21.2,26,32.2,40.8,18.2,21.9,26.6,18.5,57.2,60.3,55.2,19.6
"1989:Q3","GenX",0.4,0.5,0.6,2.3,0.2,0,0.4,0.4,1.5,0.9,3.6,0.2
"1989:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1989:Q4","Silent",77.5,72.7,66.3,55.9,80.4,77.9,72,80,41.4,39.4,40,81.3
"1989:Q4","BabyBoom",21.5,26.2,31.7,41.5,19.4,21.8,27.3,19.3,56.4,58.9,55.6,18.6
"1989:Q4","GenX",0.9,1.1,2.1,2.6,0.2,0.3,0.6,0.7,2.3,1.6,4.4,0.1
"1989:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q1","Silent",78.5,73.4,67.7,55.5,84.8,76.8,73.9,80.1,41,39.2,39.3,80.7
"1990:Q1","BabyBoom",21,25.9,31.6,41.4,15.2,22.7,26.1,19.2,56.7,59.4,55.4,19.2
"1990:Q1","GenX",0.5,0.7,0.7,3.1,0,0.5,0,0.7,2.3,1.4,5.2,0.1
"1990:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q2","Silent",78.1,73.1,66.2,54.5,87.6,75.7,75.6,79.6,40.9,39.2,38.8,81.2
"1990:Q2","BabyBoom",21,25.7,31.5,42,12.4,23.9,24.4,19.6,55.6,57.9,55.3,18.7
"1990:Q2","GenX",0.8,1.2,2.3,3.5,0,0.4,0,0.7,3.5,2.9,5.9,0.1
"1990:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q3","Silent",79.7,74.3,67.3,54.5,99.1,73.3,78.6,81.1,40.4,39.1,37.1,83.7
