"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Top1",4802843,4925950,596976,358833,872118,397219,1334161,1366643,123107,77349,24974,20783
"1989:Q3","Next9",7604753,8115526,2069221,419751,817417,1796575,1042117,1970444,510774,397466,56274,57034
"1989:Q3","Next40",7249885,8795714,3410974,760507,339631,2067464,557814,1659324,1545830,1151009,363257,31564
"1989:Q3","Bottom50",762422,1715289,814781,357259,22297,211936,44324,264691,952866,584866,339702,28298
"1989:Q4","Top1",4927654,5061978,628017,356781,894286,415517,1351166,1416211,134324,85659,25250,23416
"1989:Q4","Next9",7730929,8236446,2121185,422163,834061,1826305,1035435,1997297,505517,394858,57058,53601
"1989:Q4","Next40",7332626,8970855,3432023,776260,360052,2143587,574656,1684276,1638229,1229138,376286,32806
"1989:Q4","Bottom50",813099,1741762,813092,370570,25153,215984,44538,272424,928663,550461,350692,27511
"1990:Q1","Top1",4906415,5044716,659730,346188,821110,417506,1343432,1456750,138300,88425,24604,25271
"1990:Q1","Next9",7739840,8272230,2122821,434763,795146,1866667,1044074,2008759,532389,421045,56806,54538
"1990:Q1","Next40",7501152,9118737,3494468,798080,353173,2180743,590061,1702211,1617586,1224155,358357,35073
"1990:Q1","Bottom50",794917,1775706,821114,388098,25185,215397,47232,278680,980789,601286,352552,26951
"1990:Q2","Top1",4972070,5115656,683747,346400,856348,429671,1342478,1457011,143585,93618,23154,26813
"1990:Q2","Next9",7866159,8407740,2152058,433779,821526,1920317,1055057,2025004,541581,429835,59126,52621
"1990:Q2","Next40",7513589,9188817,3485834,812245,360077,2217749,585776,1727137,1675228,1282853,356402,35973
"1990:Q2","Bottom50",819747,1795176,815229,400087,26315,219051,50171,284324,975429,589104,360031,26294
"1990:Q3","Top1",4790190,4941556,694351,325745,658052,422037,1308800,1532571,151366,97158,25682,28525
"1990:Q3","Next9",7835216,8386083,2135157,457852,710472,1963026,1079089,2040488,550867,450675,54868,45324
"1990:Q3","Next40",7570573,9244700,3503781,828198,325128,2239322,609871,1738399,1674126,1273542,365644,34940
"1990:Q3","Bottom50",822641,1839468,852949,404451,23438,213874,54730,290025,1016827,625361,366108,25358
"1990:Q4","Top1",5005224,5165475,721369,321645,757606,435287,1341836,1587733,160251,105325,24568,30358
"1990:Q4","Next9",7906579,8465968,2099145,460783,779720,1979544,1055646,2091130,559389,454578,57905,46905
"1990:Q4","Next40",7699899,9421935,3515266,842933,364878,2325840,614894,1758123,1722036,1318990,366585,36461
"1990:Q4","Bottom50",828446,1838929,835348,413759,27893,216027,52164,293738,1010483,610362,375333,24788
"1991:Q1","Top1",5264089,5432271,733057,325758,907106,457659,1401220,1607470,168182,114923,21017,32241
"1991:Q1","Next9",7993074,8553058,2126553,454148,878525,1970609,1012538,2110685,559984,450185,63076,46723
"1991:Q1","Next40",7810403,9591491,3489088,858635,420469,2432457,614562,1776281,1781088,1402756,340370,37962
"1991:Q1","Bottom50",929330,1892854,864149,429288,33934,221807,46506,297170,963523,561287,377745,24492
"1991:Q2","Top1",5228599,5400627,746581,316778,892321,480288,1379709,1584950,172028,118643,20378,33007
"1991:Q2","Next9",8008832,8586859,2131037,463108,877123,1991465,1022675,2101451,578027,469110,63546,45371
"1991:Q2","Next40",7842566,9643450,3478179,870750,420439,2480964,610356,1782762,1800884,1428114,334979,37792
"1991:Q2","Bottom50",958799,1939082,895416,433070,34178,227827,49217,299374,980284,574246,382403,23635
"1991:Q3","Top1",5339146,5506984,772819,307860,971067,511573,1374151,1569515,167838,116309,18054,33476
"1991:Q3","Next9",8003752,8621828,2093972,470807,929673,2002371,1016671,2108333,618075,499724,65831,52521
"1991:Q3","Next40",8037155,9780258,3505192,885389,443557,2550400,598350,1797369,1743104,1372617,330694,39792
"1991:Q3","Bottom50",939126,1975898,911691,439387,36729,236596,49564,301930,1036771,625318,387921,23532
"1991:Q4","Top1",5611781,5779979,773729,304638,1196604,534835,1402325,1567847,168198,117956,16001,34241
"1991:Q4","Next9",8152947,8806027,2119874,471352,1064189,2013834,988662,2148117,653080,523125,69184,60771
"1991:Q4","Next40",8157449,9916004,3472196,897050,505813,2643816,589075,1808053,1758555,1382459,333869,42227
"1991:Q4","Bottom50",998591,2062416,983313,444349,43322,241338,45786,304308,1063825,643816,396526,23483
"1992:Q1","Top1",5575601,5739822,816238,294694,1158324,537459,1392264,1540842,164221,114582,13530,36109
"1992:Q1","Next9",8186439,8866653,2147025,480609,1044733,2076053,1007230,2111003,680214,554383,69206,56625
"1992:Q1","Next40",8273441,9997120,3492347,908747,505762,2689418,585845,1815001,1723679,1367562,314498,41619
"1992:Q1","Bottom50",980774,2071669,990016,448045,43381,237881,47014,305332,1090895,671193,396119,23582
"1992:Q2","Top1",5577967,5739449,867287,286562,1161118,558139,1367204,1499139,161482,113127,11138,37217
"1992:Q2","Next9",8218075,8931269,2134741,486316,1043384,2138596,1029056,2099177,713195,581244,70726,61226
"1992:Q2","Next40",8353459,10064446,3505618,923314,507096,2736350,564851,1827217,1710987,1358831,309366,42790
"1992:Q2","Bottom50",957648,2069982,970888,456887,43504,241361,49108,308235,1112334,687494,401103,23737
"1992:Q3","Top1",5659205,5822552,888382,271759,1231559,586855,1372112,1471884,163347,114888,10017,38442
"1992:Q3","Next9",8302835,9048383,2118569,498175,1075211,2188482,1048445,2119502,745548,612013,72512,61024
"1992:Q3","Next40",8494709,10188653,3514879,939117,527991,2803473,546511,1856682,1693944,1340184,311172,42589
"1992:Q3","Bottom50",999144,2158635,1042158,462492,45609,247188,48571,312617,1159491,728243,408233,23015
"1992:Q4","Top1",5938218,6103579,883456,282369,1430290,573550,1399573,1534342,165361,116450,9915,38996
"1992:Q4","Next9",8441114,9184705,2115715,497320,1201080,2269316,1002035,2099240,743591,613866,73101,56624
"1992:Q4","Next40",8719203,10418539,3589730,943100,570239,2904665,561059,1849747,1699336,1338242,317623,43470
"1992:Q4","Bottom50",957348,2180251,1054081,470467,51100,243940,47561,313103,1222903,771794,424130,26979
"1993:Q1","Top1",6121096,6290926,890307,301428,1496507,588587,1437887,1576212,169831,122685,7976,39170
"1993:Q1","Next9",8537793,9258395,2158946,486358,1247848,2301752,989212,2074278,720602,587960,74002,58640
"1993:Q1","Next40",8729014,10500794,3593742,941816,579782,2985801,570250,1829403,1771780,1432098,293965,45718
"1993:Q1","Bottom50",982496,2156581,1011061,476798,53013,253847,48394,313468,1174084,711446,431320,31319
"1993:Q2","Top1",6220383,6393549,878015,305260,1529036,585676,1465646,1629916,173166,125034,8573,39559
"1993:Q2","Next9",8549816,9269666,2160289,492382,1272782,2344081,976128,2024003,719850,592833,72977,54041
"1993:Q2","Next40",8871343,10640881,3649140,950024,587705,3052524,585869,1815618,1769539,1430397,293029,46112
"1993:Q2","Bottom50",983114,2221697,1056459,488586,54640,257336,49074,315603,1238583,759564,444083,34936
"1993:Q3","Top1",6391048,6569968,871530,309291,1623913,588120,1500055,1677060,178920,129985,9618,39317
"1993:Q3","Next9",8601770,9325331,2147894,497359,1326927,2392350,967816,1992985,723561,592259,72649,58653
"1993:Q3","Next40",9014261,10804078,3713580,958822,604219,3118935,593599,1814922,1789817,1440229,300992,48596
"1993:Q3","Bottom50",994241,2287859,1099130,500407,57172,262876,49640,318635,1293618,795543,459410,38665
"1993:Q4","Top1",6610831,6794511,872099,316817,1723196,578646,1546217,1757537,183680,133844,10716,39120
"1993:Q4","Next9",8676210,9397764,2161845,498317,1380840,2439921,953845,1962995,721554,588944,72035,60575
"1993:Q4","Next40",9127041,10964385,3761576,969258,625735,3177041,603209,1827566,1837344,1463313,323708,50323
"1993:Q4","Bottom50",1004055,2339358,1126006,517686,60181,264790,48933,321763,1335303,813076,479709,42518
"1994:Q1","Top1",6632226,6827158,879075,322645,1637539,572321,1564719,1850858,194932,143296,11774,39863
"1994:Q1","Next9",8811988,9502120,2201511,501572,1325501,2494776,979784,1998975,690131,563795,69349,56987
"1994:Q1","Next40",9058249,10982326,3777933,974305,602144,3207416,616513,1804016,1924077,1559250,313560,51267
"1994:Q1","Bottom50",1056524,2355632,1125495,527515,58443,268024,52400,323756,1299108,763129,489193,46786
"1994:Q2","Top1",6695191,6894056,889359,327564,1615622,585770,1578331,1897410,198865,145679,12731,40455
"1994:Q2","Next9",8873791,9560558,2208122,505127,1296361,2550464,1026208,1974275,686767,565219,67814,53734
"1994:Q2","Next40",9098193,11049645,3833713,984318,575736,3226480,610207,1819190,1951453,1568866,330142,52445
"1994:Q2","Bottom50",1050924,2405135,1138974,542539,56619,279791,58017,329196,1354211,794859,507892,51460
"1994:Q3","Top1",6848705,7049364,898113,332677,1673100,595559,1610841,1939074,200659,146815,13110,40734
"1994:Q3","Next9",8930780,9620929,2181701,507736,1309078,2613035,1036293,1973087,690150,574032,68030,48088
"1994:Q3","Next40",9243134,11189342,3906650,996767,573481,3271937,600168,1840339,1946208,1542712,350628,52868
"1994:Q3","Bottom50",1021391,2463045,1161073,559319,57346,289305,60220,335782,1441654,857490,528185,55978
"1994:Q4","Top1",6988983,7192546,923980,335334,1678092,580390,1631215,2043534,203563,148097,15015,40451
"1994:Q4","Next9",9002438,9699262,2153343,513355,1285108,2683248,1067108,1997099,696824,579027,65348,52448
"1994:Q4","Next40",9296611,11271984,3986602,1005455,554297,3267999,596890,1860741,1975373,1531509,388074,55789
"1994:Q4","Bottom50",947266,2468355,1142134,570019,56412,292366,64645,342780,1521090,907306,552730,61053
"1995:Q1","Top1",7272532,7478957,919321,347924,1837148,610490,1694938,2069137,206425,152880,12773,40772
"1995:Q1","Next9",9113721,9795278,2156076,506648,1338127,2730389,1068211,1995826,681557,568780,68765,44011
"1995:Q1","Next40",9385671,11367742,4008671,1017021,565253,3330099,577674,1869025,1982071,1548539,377358,56173
"1995:Q1","Bottom50",987362,2541147,1168003,589106,58866,310045,65548,349578,1553786,921726,565650,66410
"1995:Q2","Top1",7535667,7744866,866067,354129,2004213,628113,1776375,2115968,209199,156127,12283,40789
"1995:Q2","Next9",9178693,9863505,2158789,506425,1391388,2791932,1036748,1978223,684812,573085,71696,40031
"1995:Q2","Next40",9510278,11477967,4002872,1025848,589181,3414227,562863,1882978,1967689,1516055,393493,58141
"1995:Q2","Bottom50",1049442,2700432,1297401,597917,62663,321779,63925,356747,1650991,993036,585653,72301
"1995:Q3","Top1",7906837,8115477,823569,361507,2207410,645865,1884444,2192681,208640,157166,11703,39771
"1995:Q3","Next9",9251871,9950599,2180147,504788,1455850,2849499,991711,1968603,698727,580283,73841,44603
"1995:Q3","Next40",9632762,11591073,4006036,1033067,623119,3510786,553906,1864158,1958311,1480455,415882,61974
