"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","White",90.7,89.5,86.9,86.7,96.2,87.7,89.2,93.1,81.9,82.6,79,86.7
"1989:Q3","Black",3.8,4.1,4.9,5.8,0.8,7.3,1.3,2.6,5.9,4.7,10,1.1
"1989:Q3","Hispanic",2.1,2.6,3.8,3.5,0.7,2.5,1.9,2,6.4,6.5,6,9
"1989:Q3","Other",3.4,3.7,4.3,3.9,2.3,2.5,7.6,2.3,5.8,6.2,5,3.2
"1989:Q4","White",90.6,89.3,86.6,86.2,96,87.5,89.3,92.9,80.7,80.6,79.9,86.2
"1989:Q4","Black",3.8,4.1,4.8,6,0.9,7.4,1.3,2.5,6.1,5.2,9.4,1.4
"1989:Q4","Hispanic",2,2.7,3.8,3.7,0.6,2.5,2,2,7.1,7.5,5.9,8.4
"1989:Q4","Other",3.6,3.9,4.7,4.2,2.5,2.6,7.4,2.6,6.1,6.7,4.8,4
"1990:Q1","White",90.5,89.2,87.2,86.1,95.9,87,88.9,92.6,81.1,81.2,79.7,86.1
"1990:Q1","Black",3.8,4.1,4.6,5.9,1,7.5,1.4,2.6,6,5.2,9.4,1.7
"1990:Q1","Hispanic",2,2.6,3.6,3.8,0.5,2.5,2.2,2.1,6.8,7,6,7.6
"1990:Q1","Other",3.7,4,4.6,4.2,2.6,2.9,7.5,2.8,6.1,6.6,4.9,4.6
"1990:Q2","White",90.2,88.8,86.7,85.6,95.9,86.5,88.4,92.2,80,79.7,79.8,85.9
"1990:Q2","Black",3.9,4.2,4.7,6,1.1,7.6,1.4,2.7,6.3,5.6,9.3,2
"1990:Q2","Hispanic",1.9,2.7,3.6,3.9,0.5,2.6,2.3,2.2,7.3,7.8,6.1,7
"1990:Q2","Other",4,4.3,5,4.4,2.5,3.4,7.9,2.9,6.3,6.9,4.8,5.1
"1990:Q3","White",89.8,88.6,87.3,85.7,95.8,86.1,87.5,91.8,81.1,80.8,81.3,85.6
"1990:Q3","Black",4,4.3,4.6,5.8,1.2,7.8,1.6,2.7,6,5.4,8.3,2.3
"1990:Q3","Hispanic",2,2.7,3.4,4,0.3,2.5,2.6,2.3,6.8,7.1,5.9,6.7
"1990:Q3","Other",4.2,4.5,4.8,4.5,2.7,3.7,8.3,3.2,6.1,6.7,4.5,5.4
"1990:Q4","White",90.2,88.9,87.7,85.6,95.6,85.9,88.3,92.1,80.9,80.6,81.1,86.1
"1990:Q4","Black",3.9,4.2,4.5,5.9,1.2,7.9,1.6,2.4,6,5.5,8.3,2.5
"1990:Q4","Hispanic",1.9,2.5,3.2,4,0.2,2.5,2.5,2.1,6.8,7.1,6,6
"1990:Q4","Other",4.1,4.4,4.7,4.5,2.9,3.7,7.6,3.3,6.2,6.8,4.6,5.4
"1991:Q1","White",90.5,89,87.2,85.3,95.5,86.1,89.5,92.5,79.5,79.1,79.5,86.4
"1991:Q1","Black",3.8,4.2,4.6,6.1,1.3,7.9,1.5,2.2,6.5,5.9,9.2,2.8
"1991:Q1","Hispanic",1.7,2.5,3.3,4,0.1,2.6,2.3,1.9,7.4,7.9,6.4,5.4
"1991:Q1","Other",4,4.3,4.9,4.7,3.1,3.5,6.7,3.3,6.6,7.2,4.9,5.3
"1991:Q2","White",90.4,88.9,87.1,85.1,95.5,86.3,89,92.4,79.5,79.1,79.6,86.6
"1991:Q2","Black",3.8,4.2,4.7,6.1,1.3,7.8,1.6,2.3,6.6,6,9.1,3.1
"1991:Q2","Hispanic",1.7,2.5,3.3,4,0.1,2.5,2.4,1.9,7.4,7.8,6.4,4.8
"1991:Q2","Other",4,4.4,5,4.8,3.1,3.4,7,3.5,6.6,7.1,4.9,5.5
"1991:Q3","White",90.4,89.1,87.7,85.3,95.5,86.6,88.8,92.3,81,81.1,79.8,86.8
"1991:Q3","Black",3.8,4.2,4.5,6,1.3,7.7,1.8,2.3,6.3,5.6,9.1,3.4
"1991:Q3","Hispanic",1.7,2.4,3.1,3.9,0.1,2.4,2.4,1.8,6.5,6.7,6.4,4
"1991:Q3","Other",4,4.3,4.7,4.8,3.1,3.3,7,3.6,6.2,6.7,4.7,5.9
"1991:Q4","White",90.4,89.2,87.3,85.2,95.4,86.6,89.2,92.4,81.4,81.4,80,87.3
"1991:Q4","Black",3.9,4.2,4.7,6.2,1.3,7.7,1.8,2.2,6.3,5.6,9.2,3.6
"1991:Q4","Hispanic",1.7,2.3,3.2,3.8,0.2,2.4,2.3,1.6,6.3,6.5,6.3,3.2
"1991:Q4","Other",4,4.3,4.8,4.9,3.1,3.2,6.6,3.7,6.1,6.5,4.6,5.9
"1992:Q1","White",89.9,88.7,86.8,84.9,95.4,85.9,88.5,92.4,81.7,81.8,80.1,86.9
"1992:Q1","Black",4,4.4,4.8,6.3,1.3,8,2.2,2.2,6.4,5.7,9.4,3.9
"1992:Q1","Hispanic",1.8,2.4,3.4,3.8,0.2,2.4,2.6,1.5,6.1,6.2,6.2,2.7
"1992:Q1","Other",4.3,4.5,5,5,3.1,3.7,6.8,3.9,5.8,6.3,4.3,6.5
"1992:Q2","White",89.3,88.3,86.6,84.7,95.4,85.5,87.1,92,82.2,82.4,80.5,87
"1992:Q2","Black",4.3,4.6,5,6.4,1.3,8.1,2.6,2.4,6.4,5.7,9.5,4.1
"1992:Q2","Hispanic",1.9,2.4,3.4,3.7,0.3,2.3,2.9,1.5,5.8,5.9,6,2.1
"1992:Q2","Other",4.6,4.7,5,5.1,3.1,4.1,7.5,4.1,5.6,6,4,6.8
"1992:Q3","White",88.9,88.1,86.9,85.1,95.2,85.2,85.7,91.5,83.4,84,80.6,87.2
"1992:Q3","Black",4.4,4.7,4.9,6.4,1.2,8.2,3.1,2.6,6.2,5.4,9.7,4.4
"1992:Q3","Hispanic",2,2.4,3.4,3.5,0.6,2.3,3.2,1.5,5.1,5,5.9,1.7
"1992:Q3","Other",4.7,4.8,4.7,5,3,4.3,8,4.5,5.3,5.6,3.8,6.7
"1992:Q4","White",89.4,88.6,87.3,85.4,95.4,84.8,88.1,92,83.7,84.3,80.5,87.8
"1992:Q4","Black",4.2,4.5,4.8,6.3,1.3,8.3,2.6,2.3,6.3,5.4,9.9,4.2
"1992:Q4","Hispanic",1.9,2.3,3.3,3.4,0.4,2.4,2.7,1.4,4.9,4.8,5.7,1.7
"1992:Q4","Other",4.5,4.6,4.6,4.9,3,4.5,6.7,4.3,5.2,5.5,3.9,6.3
"1993:Q1","White",89.8,88.7,86.3,85,95.5,85.4,89.3,92.5,81.8,82.1,79.3,88.4
"1993:Q1","Black",4.1,4.5,5.1,6.5,1.3,8,2.3,2.3,7,6.1,10.8,3.9
"1993:Q1","Hispanic",1.7,2.3,3.5,3.4,0.3,2.3,2.3,1.3,5.8,6,5.8,1.7
"1993:Q1","Other",4.4,4.5,5.1,5.1,2.9,4.2,6,4,5.5,5.8,4.1,6.1
"1993:Q2","White",90.1,89,86.6,85.4,95.5,85.6,90.3,92.7,82.2,82.7,79,89
"1993:Q2","Black",4,4.4,5,6.3,1.3,7.9,2.1,2.2,7,6,11.1,3.7
"1993:Q2","Hispanic",1.7,2.2,3.5,3.4,0.2,2.3,2.1,1.3,5.5,5.7,5.6,1.7
"1993:Q2","Other",4.2,4.4,4.9,4.9,2.9,4.2,5.4,3.8,5.3,5.6,4.2,5.6
"1993:Q3","White",90.4,89.3,87.2,85.9,95.5,85.7,91.1,92.8,82.7,83.4,78.8,89.9
"1993:Q3","Black",3.9,4.3,4.8,6.1,1.3,7.8,2,2.2,6.9,5.9,11.3,3.4
"1993:Q3","Hispanic",1.7,2.2,3.3,3.3,0.2,2.3,2,1.2,5.1,5.3,5.5,1.6
"1993:Q3","Other",4,4.2,4.6,4.7,2.9,4.2,4.9,3.7,5.2,5.4,4.4,5
"1993:Q4","White",90.5,89.5,87.2,86.1,95.5,85.6,92,93.1,82.9,83.4,79.5,90.5
"1993:Q4","Black",3.9,4.3,4.9,6.1,1.3,7.8,1.9,2.2,7,6,11,3.2
"1993:Q4","Hispanic",1.7,2.1,3.3,3.2,0.3,2.4,1.8,1.2,5.1,5.2,5.2,1.6
"1993:Q4","Other",3.9,4.1,4.6,4.6,2.9,4.3,4.3,3.6,5.1,5.4,4.3,4.7
"1994:Q1","White",90.5,89.3,86.4,85.9,95.5,85.6,92.1,93,81.6,81.7,79.1,91.1
"1994:Q1","Black",3.9,4.4,5.1,6.1,1.4,7.7,2,2.2,7.4,6.5,11.4,3.1
"1994:Q1","Hispanic",1.6,2.2,3.5,3.3,0.2,2.3,1.8,1.1,5.7,6.1,5.1,1.6
"1994:Q1","Other",4,4.2,4.9,4.7,2.9,4.4,4.1,3.6,5.3,5.6,4.4,4.2
"1994:Q2","White",90.3,89.2,86.5,86,95.6,85.7,91.6,92.7,81.9,81.9,79.7,91.6
"1994:Q2","Black",3.9,4.4,5.2,6,1.4,7.5,2.1,2.4,7.4,6.6,11.1,3
"1994:Q2","Hispanic",1.7,2.2,3.5,3.3,0.3,2.3,1.9,1.3,5.5,6,4.9,1.6
"1994:Q2","Other",4.1,4.2,4.9,4.6,2.8,4.4,4.4,3.6,5.2,5.5,4.3,3.9
"1994:Q3","White",90.3,89.3,87,86.4,95.6,85.7,91.7,92.4,82.8,83,80.2,92.1
"1994:Q3","Black",3.9,4.4,5,5.9,1.3,7.4,2.1,2.5,7.2,6.4,10.8,2.9
"1994:Q3","Hispanic",1.7,2.2,3.3,3.2,0.3,2.3,1.8,1.4,5.1,5.4,4.7,1.6
"1994:Q3","Other",4.1,4.2,4.6,4.5,2.8,4.6,4.4,3.7,4.9,5.2,4.3,3.5
"1994:Q4","White",90.1,89.2,87.3,86.6,95.6,85.2,91.3,92,83.4,83.4,81.7,92.5
"1994:Q4","Black",3.9,4.4,5,5.7,1.3,7.5,2.1,2.7,7,6.4,9.9,2.8
"1994:Q4","Hispanic",1.8,2.2,3.2,3.2,0.4,2.4,1.9,1.5,4.8,5.1,4.3,1.4
"1994:Q4","Other",4.2,4.3,4.5,4.5,2.8,4.9,4.6,3.8,4.8,5.1,4.1,3.2
"1995:Q1","White",90.2,89.2,87.3,86.6,95.5,85.4,91.7,91.6,83.1,83.3,80.8,93
"1995:Q1","Black",3.9,4.4,5.1,5.7,1.2,7.3,2,2.8,7.2,6.4,10.3,2.8
"1995:Q1","Hispanic",1.7,2.2,3.1,3.2,0.5,2.5,1.7,1.6,4.8,5.1,4.6,1.4
"1995:Q1","Other",4.2,4.3,4.5,4.5,2.8,4.9,4.6,3.9,4.9,5.2,4.4,2.8
"1995:Q2","White",90.2,89.3,87.9,87,95.4,85.1,92.7,91.2,83.9,84.4,80.7,93.5
"1995:Q2","Black",3.8,4.3,5,5.5,1.1,7.3,1.7,2.8,6.9,6.1,10,2.9
"1995:Q2","Hispanic",1.8,2.1,2.9,3.1,0.5,2.6,1.4,1.7,4.4,4.5,4.7,1.4
"1995:Q2","Other",4.2,4.3,4.2,4.4,2.9,5,4.2,4.3,4.8,5,4.6,2.2
"1995:Q3","White",90.3,89.5,88.1,87.2,95.4,84.9,93.9,91.1,84.5,85,81.1,93.6
"1995:Q3","Black",3.7,4.2,4.9,5.4,1,7.3,1.5,2.6,6.6,5.9,9.4,3.2
"1995:Q3","Hispanic",1.7,2.1,2.8,3.1,0.4,2.7,1.1,1.7,4.1,4.1,4.8,1.2
"1995:Q3","Other",4.2,4.3,4.1,4.4,3.1,5.1,3.5,4.6,4.7,5,4.7,1.9
"1995:Q4","White",90.7,89.8,87.9,87.4,95.4,85.7,93.6,92,84.5,84.8,82.2,93.3
"1995:Q4","Black",3.7,4.1,5,5.3,1.1,7.1,1.6,2.6,6.6,6,8.7,3
"1995:Q4","Hispanic",1.8,2.1,3,3,0.6,2.6,1.2,1.6,4.2,4.2,4.6,1.5
"1995:Q4","Other",3.8,4,4.1,4.3,2.9,4.6,3.6,3.8,4.8,5,4.5,2.2
"1996:Q1","White",91,90,87.5,87.4,95.5,86.2,93.5,92.5,83.9,84,81.5,93.6
"1996:Q1","Black",3.6,4.1,5,5.3,1.1,6.9,1.7,2.5,6.7,6.2,9,2.4
"1996:Q1","Hispanic",1.8,2.2,3.2,3,0.7,2.6,1.3,1.6,4.5,4.5,4.8,1.6
"1996:Q1","Other",3.6,3.8,4.3,4.2,2.8,4.3,3.6,3.4,4.9,5.2,4.7,2.4
"1996:Q2","White",91.2,90.2,87.8,87.7,95.6,86.6,93.1,92.8,84.4,84.5,82.2,93.2
"1996:Q2","Black",3.6,4,4.9,5.2,1.1,6.8,1.7,2.5,6.5,6.1,8.4,2.3
"1996:Q2","Hispanic",1.8,2.2,3.2,3,0.7,2.5,1.4,1.6,4.2,4.2,4.8,1.8
"1996:Q2","Other",3.4,3.6,4.1,4.1,2.6,4.1,3.8,3.1,4.9,5.1,4.5,2.8
"1996:Q3","White",91.2,90.3,87.9,87.8,95.6,87,92.7,92.8,84.7,84.7,83.1,92.8
"1996:Q3","Black",3.6,3.9,4.9,5.1,1.1,6.7,1.7,2.4,6.3,6,7.8,2.2
"1996:Q3","Hispanic",1.9,2.2,3.2,3.1,0.7,2.5,1.5,1.7,4.1,4.1,4.7,2
"1996:Q3","Other",3.4,3.6,4,4,2.6,3.8,4,3,4.9,5.1,4.4,3.1
"1996:Q4","White",91.3,90.3,87.3,87.6,95.6,87.8,92.6,92.8,84.1,83.6,83.5,92.7
"1996:Q4","Black",3.5,3.9,5,5.2,1.1,6.4,1.7,2.4,6.3,6.3,7.3,1.9
"1996:Q4","Hispanic",1.9,2.3,3.3,3.2,0.8,2.5,1.5,1.8,4.5,4.6,4.8,2
"1996:Q4","Other",3.3,3.5,4.3,4.1,2.5,3.3,4.2,3,5.1,5.4,4.4,3.3
"1997:Q1","White",91.2,90.1,87,87.5,95.6,88,92.1,92.5,83.7,83.3,83.1,92.3
"1997:Q1","Black",3.5,3.9,5.1,5.1,1.1,6.3,1.7,2.5,6.4,6.4,7.3,1.9
"1997:Q1","Hispanic",1.9,2.3,3.4,3.3,0.8,2.5,1.7,1.9,4.7,4.8,5.1,2.2
"1997:Q1","Other",3.3,3.6,4.5,4.1,2.5,3.2,4.4,3.2,5.2,5.6,4.5,3.7
"1997:Q2","White",91.3,90.2,87.2,87.7,95.6,87.8,92.2,92.4,83.7,83.6,82.1,91.9
"1997:Q2","Black",3.5,3.9,5,5.1,1.1,6.3,1.5,2.6,6.4,6.3,7.7,1.8
"1997:Q2","Hispanic",2,2.3,3.4,3.2,0.9,2.7,1.5,2,4.6,4.6,5.4,2.3
"1997:Q2","Other",3.3,3.6,4.4,4,2.4,3.3,4.7,2.9,5.3,5.5,4.7,4
"1997:Q3","White",91.4,90.3,87.2,87.8,95.5,87.9,92.2,92.4,83.9,83.9,82.1,91.9
"1997:Q3","Black",3.4,3.8,5,5,1.1,6.2,1.5,2.7,6.3,6.2,7.6,1.5
"1997:Q3","Hispanic",2,2.4,3.4,3.2,1,2.7,1.5,2.1,4.5,4.4,5.6,2.2
"1997:Q3","Other",3.2,3.5,4.4,4,2.4,3.2,4.8,2.8,5.3,5.5,4.8,4.4
"1997:Q4","White",91.1,90.1,86.5,87.5,95.5,87.9,92,92.3,83.6,83.2,82.9,91.1
"1997:Q4","Black",3.4,3.8,5.1,5.1,1.2,6.1,1.5,2.7,6.3,6.4,7,1.5
"1997:Q4","Hispanic",2.1,2.5,3.6,3.4,1,2.7,1.6,2.2,4.8,4.8,5.5,2.4
"1997:Q4","Other",3.3,3.6,4.8,4.1,2.4,3.2,4.9,2.8,5.4,5.7,4.6,5
"1998:Q1","White",91.1,90.1,86.5,87.6,95.4,87.6,92.3,92.3,83.4,83.6,81.3,90.4
"1998:Q1","Black",3.4,3.8,5.1,5.1,1.2,6.1,1.4,2.8,6.4,6.3,7.9,1.5
"1998:Q1","Hispanic",2.1,2.5,3.6,3.3,1.1,2.9,1.5,2.3,4.7,4.5,5.9,2.5
"1998:Q1","Other",3.3,3.6,4.8,4,2.3,3.4,4.9,2.6,5.4,5.6,4.8,5.6
"1998:Q2","White",91.1,90.1,86.5,87.6,95.2,87.6,92,92.3,83.3,83.4,81.8,89.8
"1998:Q2","Black",3.4,3.8,4.9,5.1,1.3,6.1,1.4,2.9,6.4,6.4,7.6,1.3
"1998:Q2","Hispanic",2.2,2.5,3.6,3.4,1.2,2.9,1.5,2.3,4.8,4.7,5.9,2.6
"1998:Q2","Other",3.3,3.6,4.9,4,2.3,3.4,5.1,2.4,5.4,5.6,4.7,6.3
"1998:Q3","White",91.1,90.3,87.5,87.9,94.9,88.4,91.1,92.2,84.8,84.9,83.6,88.7
"1998:Q3","Black",3.4,3.7,4.4,4.7,1.6,5.8,1.7,2.9,5.8,6,6.6,1.2
"1998:Q3","Hispanic",2.3,2.6,3.5,3.6,1.1,2.7,2.1,2.4,4.2,3.9,5.5,2.9
"1998:Q3","Other",3.2,3.4,4.5,3.8,2.4,3.1,5.1,2.4,5.1,5.3,4.3,7.2
"1998:Q4","White",91.1,90.1,86.8,87.6,95.2,87.1,92.6,92.3,83.3,83.5,81.3,89.9
"1998:Q4","Black",3.4,3.8,4.9,5.2,1.3,6.2,1.3,2.8,6.5,6.4,7.9,1.6
"1998:Q4","Hispanic",2.2,2.5,3.6,3.3,1.1,3.1,1.4,2.3,4.9,4.6,6,2.6
"1998:Q4","Other",3.3,3.6,4.8,3.9,2.4,3.6,4.7,2.6,5.3,5.5,4.8,5.9
"1999:Q1","White",91.2,90.1,87,87.7,95.4,86.8,92.7,92.6,83.2,83.7,79.9,91
"1999:Q1","Black",3.4,3.8,5,5.4,1.2,6.4,1.2,2.9,6.6,6.3,8.6,1.7
"1999:Q1","Hispanic",2.1,2.5,3.5,3.2,1.1,3.2,1.2,2.1,4.9,4.6,6.3,2.4
"1999:Q1","Other",3.3,3.5,4.5,3.8,2.4,3.6,4.9,2.4,5.3,5.4,5.1,5
"1999:Q2","White",91.3,90.1,86.8,87.5,95.5,86.4,93,92.6,82.5,83,78.8,91.8
"1999:Q2","Black",3.4,3.9,5.1,5.6,1.1,6.5,1.1,3,7,6.6,9.3,1.9
"1999:Q2","Hispanic",2,2.5,3.5,3.1,1.1,3.4,1,2,5.2,5,6.5,2.1
"1999:Q2","Other",3.3,3.6,4.6,3.7,2.3,3.8,5,2.4,5.3,5.4,5.4,4.2
"1999:Q3","White",91.4,90.2,87.2,87.6,95.6,87,92.3,92.7,83,83.6,79.3,92.5
"1999:Q3","Black",3.4,3.9,5,5.6,1,6.4,1.2,2.9,6.8,6.5,9.1,2
"1999:Q3","Hispanic",2.1,2.5,3.4,3.3,1.1,3.3,1.2,2,5,4.8,6.4,1.9
"1999:Q3","Other",3.2,3.4,4.4,3.6,2.3,3.3,5.2,2.4,5.1,5.2,5.3,3.6
"1999:Q4","White",91.2,90.1,87.1,87.4,95.7,86,92.8,92,82.8,83.7,77.9,92.8
"1999:Q4","Black",3.4,3.9,5.1,6,0.9,6.6,1.1,3.1,7.1,6.5,10.1,2.2
"1999:Q4","Hispanic",2.1,2.5,3.4,3,1.2,3.5,0.9,2.1,5,4.8,6.6,1.5
"1999:Q4","Other",3.3,3.6,4.4,3.5,2.2,3.8,5.3,2.7,5,5,5.5,3.5
"2000:Q1","White",91.1,90.1,87.2,87.4,95.7,85.9,92.5,92.1,83.4,84.6,77.1,92.9
"2000:Q1","Black",3.4,3.9,5.1,6.2,0.9,6.6,1,3.3,7.2,6.4,10.8,2.3
"2000:Q1","Hispanic",2.1,2.5,3.4,3,1.3,3.6,0.8,1.9,4.7,4.4,6.6,1.2
"2000:Q1","Other",3.3,3.5,4.3,3.4,2.1,3.9,5.6,2.6,4.8,4.6,5.5,3.6
"2000:Q2","White",91.1,90,87.3,87.3,95.8,86.1,92,92,83.4,84.6,77.3,93.3
"2000:Q2","Black",3.4,4,5,6.3,0.9,6.5,1.1,3.4,7.3,6.5,10.8,2.4
"2000:Q2","Hispanic",2.1,2.5,3.4,3.1,1.2,3.6,0.9,1.9,4.7,4.5,6.5,1.1
"2000:Q2","Other",3.4,3.5,4.3,3.4,2.1,3.8,6,2.6,4.6,4.5,5.4,3.2
"2000:Q3","White",91.1,90.1,87.8,87.5,95.8,86.1,91.9,92.1,83.9,85.3,77.5,93.6
"2000:Q3","Black",3.4,3.9,4.9,6.3,0.9,6.6,1.2,3.4,7.2,6.3,10.9,2.5
"2000:Q3","Hispanic",2.2,2.5,3.3,3.1,1.2,3.6,1,1.9,4.4,4.1,6.4,1
"2000:Q3","Other",3.3,3.5,4,3.2,2.1,3.7,5.9,2.6,4.4,4.2,5.3,2.9
"2000:Q4","White",91.1,90,87.6,87.2,95.8,86.6,91.6,92.2,83.5,84.4,78.3,94
"2000:Q4","Black",3.4,4,4.9,6.4,0.9,6.5,1.3,3.2,7.4,6.6,10.6,2.7
"2000:Q4","Hispanic",2.1,2.5,3.3,3.3,1.1,3.5,1.2,1.9,4.8,4.6,6.1,1
"2000:Q4","Other",3.3,3.5,4.2,3.2,2.1,3.4,5.9,2.6,4.4,4.3,5,2.3
"2001:Q1","White",91.1,90,87.5,87,95.8,87.1,91.7,92.5,83.3,84.1,78.7,94.6
