"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","age70plus",3861855,3961477,1002910,161258,465853,476465,337133,1517858,99623,41711,35379,22533
"1989:Q3","age55to69",7236485,7661801,1903934,463384,740725,1713533,1010538,1829689,425316,294913,91127,39276
"1989:Q3","age40to54",6631374,7863913,2476562,673187,626287,1684259,1146801,1256817,1232539,872239,300252,60048
"1989:Q3","ageunder40",2690189,4065287,1508547,598521,218599,598938,483944,656738,1375098,1001827,357448,15823
"1989:Q4","age70plus",3964463,4063071,1101992,165078,451154,478200,333419,1533228,98608,41964,35498,21146
"1989:Q4","age55to69",7423109,7886236,1936007,467980,784431,1764119,1036878,1896821,463126,329207,93706,40213
"1989:Q4","age40to54",6778155,7979479,2472518,682630,643771,1749923,1155510,1275128,1201325,832759,308455,60111
"1989:Q4","ageunder40",2638579,4082254,1483799,610087,234195,609153,479990,665030,1443674,1056185,371627,15862
"1990:Q1","age70plus",4076996,4170778,1095417,175634,455033,511639,365573,1567482,93781,40840,32072,20870
"1990:Q1","age55to69",7423374,7896405,1969334,480955,701892,1773671,1035167,1935386,473031,333546,95784,43701
"1990:Q1","age40to54",6798975,8062088,2533412,694281,610160,1790629,1149427,1284179,1263113,902249,300320,60544
"1990:Q1","ageunder40",2642979,4082119,1499970,616260,227529,604374,474633,659354,1439140,1058277,364144,16718
"1990:Q2","age70plus",4356272,4451351,1183595,179734,518650,559400,406725,1603248,95079,45029,30222,19829
"1990:Q2","age55to69",7399624,7919336,1982182,484205,698066,1781153,1040295,1933435,519712,373923,101116,44672
"1990:Q2","age40to54",6838777,8072397,2493674,701621,620325,1836857,1119299,1300621,1233620,875649,297482,60489
"1990:Q2","ageunder40",2576892,4064304,1477416,626952,227224,609377,467162,656173,1487413,1100809,369892,16711
"1990:Q3","age70plus",4484498,4576134,1135455,199098,490692,603759,463423,1683706,91635,41430,33084,17122
"1990:Q3","age55to69",7247559,7744345,2004719,489172,501340,1777440,1004049,1967625,496786,362539,92394,41853
"1990:Q3","age40to54",6759232,8081247,2551326,706664,527400,1865053,1121943,1308862,1322015,950201,312233,59582
"1990:Q3","ageunder40",2527331,4010080,1494739,621312,197658,592007,463075,641290,1482749,1092567,374592,15590
"1990:Q4","age70plus",4416837,4501521,1125409,205030,478681,584499,427405,1680497,84684,35691,31415,17578
"1990:Q4","age55to69",7540688,8050895,2002735,496940,638302,1827340,1036168,2049411,510207,363359,101586,45262
"1990:Q4","age40to54",6920934,8262535,2536949,710983,589373,1939825,1143992,1341412,1341601,971960,309926,59715
"1990:Q4","ageunder40",2561688,4077355,1506035,626168,223740,605033,456974,659405,1515666,1118246,381463,15957
"1991:Q1","age70plus",4259860,4335253,1185489,207013,429141,533253,352896,1627462,75393,32855,25376,17162
"1991:Q1","age55to69",7927401,8478067,2016499,503566,867905,1892148,1092345,2105603,550666,387479,115923,47264
