"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","age70plus",18.9,16.8,14.6,8.5,22.7,10.7,11.3,28.9,3.2,1.9,4.5,16.4
"1989:Q3","age55to69",35.4,32.5,27.6,24.4,36.1,38.3,33.9,34.8,13.6,13.3,11.6,28.5
"1989:Q3","age40to54",32.5,33.4,35.9,35.5,30.5,37.7,38.5,23.9,39.3,39.5,38.3,43.6
"1989:Q3","ageunder40",13.2,17.3,21.9,31.6,10.7,13.4,16.2,12.5,43.9,45.3,45.6,11.5
"1989:Q4","age70plus",19.1,16.9,15.8,8.6,21.3,10.4,11.1,28.6,3.1,1.9,4.4,15.4
"1989:Q4","age55to69",35.7,32.8,27.7,24.3,37.1,38.3,34.5,35.3,14.4,14.6,11.6,29.3
"1989:Q4","age40to54",32.6,33.2,35.4,35.4,30.5,38,38.4,23.7,37.5,36.8,38.1,43.8
"1989:Q4","ageunder40",12.7,17,21.2,31.7,11.1,13.2,16,12.4,45,46.7,45.9,11.6
"1990:Q1","age70plus",19.5,17.2,15.4,8.9,22.8,10.9,12.1,28.8,2.9,1.7,4,14.7
"1990:Q1","age55to69",35.4,32.6,27.7,24.4,35.2,37.9,34.2,35.5,14.5,14.3,12.1,30.8
"1990:Q1","age40to54",32.5,33.3,35.7,35.3,30.6,38.3,38,23.6,38.6,38.6,37.9,42.7
"1990:Q1","ageunder40",12.6,16.9,21.1,31.3,11.4,12.9,15.7,12.1,44,45.3,46,11.8
"1990:Q2","age70plus",20.6,18.2,16.6,9,25.1,11.7,13.4,29.2,2.9,1.9,3.8,14
"1990:Q2","age55to69",35,32.3,27.8,24.3,33.8,37.2,34.3,35.2,15.6,15.6,12.7,31.5
"1990:Q2","age40to54",32.3,32.9,34.9,35.2,30.1,38.4,36.9,23.7,37,36.6,37.2,42.7
"1990:Q2","ageunder40",12.2,16.6,20.7,31.5,11,12.7,15.4,11.9,44.6,46,46.3,11.8
"1990:Q3","age70plus",21.3,18.7,15.8,9.9,28.6,12.5,15.2,30.1,2.7,1.7,4.1,12.8
"1990:Q3","age55to69",34.5,31.7,27.9,24.3,29.2,36.7,32.9,35.1,14.6,14.8,11.4,31.2
"1990:Q3","age40to54",32.2,33.1,35.5,35,30.7,38.5,36.8,23.4,39,38.8,38.4,44.4
"1990:Q3","ageunder40",12,16.4,20.8,30.8,11.5,12.2,15.2,11.4,43.7,44.7,46.1,11.6
"1990:Q4","age70plus",20.6,18.1,15.7,10.1,24.8,11.8,13.9,29.3,2.5,1.4,3.8,12.7
"1990:Q4","age55to69",35.2,32.3,27.9,24.4,33.1,36.9,33.8,35.8,14.8,14.6,12.3,32.7
"1990:Q4","age40to54",32.3,33.2,35.4,34.9,30.5,39.1,37.3,23.4,38.9,39,37.6,43.1
"1990:Q4","ageunder40",11.9,16.4,21,30.7,11.6,12.2,14.9,11.5,43.9,44.9,46.3,11.5
"1991:Q1","age70plus",19.4,17,16.4,10,19.2,10.5,11.5,28.1,2.2,1.3,3.2,12.1
"1991:Q1","age55to69",36,33.3,28,24.4,38.7,37.2,35.5,36.4,15.9,15.3,14.5,33.4
"1991:Q1","age40to54",32.8,33.3,34.9,34.8,30.4,39.9,38.4,23.7,37.1,37.1,35.9,42.6
"1991:Q1","ageunder40",11.8,16.3,20.7,30.9,11.7,12.4,14.6,11.9,44.9,46.2,46.5,11.9
"1991:Q2","age70plus",20,17.6,16.6,10.5,20.9,10.7,12.7,28.8,2.1,1.3,3.1,11.8
"1991:Q2","age55to69",35.5,32.8,28,24.2,37.4,36.8,35.1,35.6,16.1,15.6,14.6,33.9
"1991:Q2","age40to54",32.8,33.4,34.8,34.6,30.3,40.2,37.9,24,37.2,37.3,35.7,42.8
"1991:Q2","ageunder40",11.6,16.2,20.7,30.7,11.4,12.3,14.4,11.6,44.6,45.8,46.5,11.5
"1991:Q3","age70plus",19.8,17.3,15.8,10.8,20.6,10.4,12.9,29,2.3,1.4,3,12.4
"1991:Q3","age55to69",35.6,32.9,28,24.4,38.4,36.6,35.3,35.2,15.7,14.8,14.8,35.3
"1991:Q3","age40to54",32.7,33.6,35.1,34.5,30.1,40.7,37.6,24.1,39.1,40.1,35.2,41.1
"1991:Q3","ageunder40",11.9,16.2,21.1,30.4,11,12.3,14.1,11.6,43,43.6,47,11.2
"1991:Q4","age70plus",18.7,16.4,15.9,10.9,16.5,9.6,11.3,28.1,2.4,1.5,2.9,13.1
"1991:Q4","age55to69",36.5,33.7,28.1,24.4,43.2,36.6,36.5,35.4,16.1,15.1,15.2,36.8
"1991:Q4","age40to54",33.1,33.9,35.2,34.4,29.7,41.5,38.3,24.8,39.1,40.5,34.5,39
"1991:Q4","ageunder40",11.8,16,20.9,30.4,10.6,12.3,13.9,11.7,42.5,42.8,47.4,11.1
"1992:Q1","age70plus",19.3,17,16.7,11.4,17.1,9.9,12.1,28.8,2.6,2,2.9,12.4
"1992:Q1","age55to69",35.6,33,27.9,24,42.4,36,35.9,34.1,16.6,15.9,14.9,35.4
"1992:Q1","age40to54",33.3,34.1,34.6,34.4,30,42.2,38.4,25.5,39.1,40.4,34.4,41.1
"1992:Q1","ageunder40",11.7,15.8,20.8,30.2,10.4,12,13.7,11.6,41.7,41.6,47.8,11.2
"1992:Q2","age70plus",20.1,17.7,17.2,11.7,18.9,10.3,13.4,29.7,2.9,2.3,2.9,12.7
"1992:Q2","age55to69",34.8,32.3,27.8,23.8,41.1,35.2,35.5,32.7,16.9,16.4,14.7,35.6
"1992:Q2","age40to54",33.4,34.2,34,34.4,30.2,42.8,37.7,26.2,39.3,40.7,34.1,40.7
"1992:Q2","ageunder40",11.7,15.7,21,30.2,9.9,11.7,13.5,11.4,40.9,40.6,48.3,11
"1992:Q3","age70plus",19.8,17.4,16.1,11.9,18.6,10.2,13.6,29.9,2.7,2.1,2.9,12.4
"1992:Q3","age55to69",34.7,32.1,27.8,24,41.7,34.7,35.5,31.7,16.2,15.5,14.9,35.6
"1992:Q3","age40to54",33.8,34.8,34.9,34.3,30.3,43.6,37.5,26.9,41.1,43.1,33.9,41.3
"1992:Q3","ageunder40",11.8,15.7,21.2,29.8,9.4,11.6,13.3,11.5,40,39.3,48.3,10.7
"1992:Q4","age70plus",19.2,16.9,16.1,12.3,16.1,10.3,12.4,29.5,2.8,2.2,2.8,12.1
"1992:Q4","age55to69",35.3,32.7,27.6,23.9,44.1,35.1,35.7,32.3,16.1,15.3,14.6,35.9
"1992:Q4","age40to54",33.8,34.8,35,34.2,30.4,43.1,38.8,26.7,41.7,43.8,34.3,41.3
"1992:Q4","ageunder40",11.7,15.5,21.3,29.6,9.4,11.5,13.1,11.6,39.5,38.6,48.2,10.7
"1993:Q1","age70plus",19.9,17.6,18.5,12.6,16.4,10.5,12.4,29.3,3.1,2.7,2.4,12.5
"1993:Q1","age55to69",34.9,32.6,27.2,23.2,43.5,35.3,35.3,32.4,17.7,17.3,15.1,36.8
"1993:Q1","age40to54",33.9,34.6,33.5,34.4,30.8,42.6,39.4,27.1,38.9,40.1,34.4,40.2
"1993:Q1","ageunder40",11.4,15.3,20.8,29.8,9.3,11.6,12.9,11.2,40.3,39.9,48.1,10.6
"1993:Q2","age70plus",19.8,17.5,18.1,12.9,16.1,10.8,12.2,29.5,3,2.7,2.3,12.2
