"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","pct99to100",3510011,3658304,537808,265536,729717,317972,853693,953578,148293,99632,26133,22528
"1989:Q3","pct80to99",8894350,10364522,3033578,697424,913946,2084153,1421719,2213703,1470172,1147599,247472,75101
"1989:Q3","pct60to80",3414770,4255470,1413600,434372,224714,1022654,284661,875469,840700,569733,247466,23500
"1989:Q3","pct40to60",2500278,2923355,997141,251075,118725,661795,246346,648273,423077,256947,160149,5981
"1989:Q3","pct20to40",1515586,1703422,666877,172273,41063,275087,126821,421301,187836,112495,70139,5202
"1989:Q3","pct00to20",584908,647407,242949,75670,23300,111533,45177,148778,62499,24284,32848,5367
"1989:Q4","pct99to100",3593869,3759917,568699,257978,726691,326609,883116,996824,166048,112492,30487,23070
"1989:Q4","pct80to99",9064091,10567133,3093223,707633,955572,2158849,1409257,2242599,1503042,1178884,251512,72646
"1989:Q4","pct60to80",3445865,4325177,1420397,440045,232378,1046784,297473,888101,879312,603808,251612,23892
"1989:Q4","pct40to60",2551047,2967090,999925,259475,126690,665123,250687,665190,416042,243123,165851,7068
"1989:Q4","pct20to40",1542600,1731196,665359,179068,48005,288769,124266,425729,188596,106712,76562,5322
"1989:Q4","pct00to20",606834,660527,246714,81576,24215,115260,40997,151765,53693,15097,33262,5334
"1990:Q1","pct99to100",3587886,3758078,591213,243703,662270,336842,883643,1040408,170193,119540,25626,25027
"1990:Q1","pct80to99",9031127,10552423,3083878,726386,885740,2210180,1394491,2251748,1521296,1197545,249251,74500
"1990:Q1","pct60to80",3536734,4417752,1465062,449912,232689,1065966,311815,892308,881018,616295,240666,24057
"1990:Q1","pct40to60",2590464,3025873,1016882,275192,134364,665306,258229,675899,435408,264790,162508,8111
"1990:Q1","pct20to40",1566568,1761770,683158,185916,50926,288187,123663,429919,195202,114492,75181,5529
"1990:Q1","pct00to20",629546,695493,257941,86019,28624,113833,52958,156119,65948,22250,39088,4610
"1990:Q2","pct99to100",3677462,3857605,612782,242200,698570,355109,882680,1066263,180143,129623,24741,25778
"1990:Q2","pct80to99",9084759,10643740,3121136,732739,889910,2245233,1403323,2251399,1558981,1236770,249349,72861
"1990:Q2","pct60to80",3547320,4459391,1453737,453719,248051,1100602,310085,893197,912071,645175,242740,24156
"1990:Q2","pct40to60",2621485,3049974,1010162,280607,141062,677094,256078,684971,428489,255866,163765,8859
"1990:Q2","pct20to40",1581845,1776572,678188,192401,55323,293409,120331,436919,194726,110365,78756,5605
"1990:Q2","pct00to20",658694,720107,260862,90844,31350,115340,60984,160726,61413,17611,39361,4441
"1990:Q3","pct99to100",3537369,3728251,612121,228309,537769,360451,857150,1132451,190882,136632,30212,24037
"1990:Q3","pct80to99",8928363,10488082,3081430,747533,703170,2319609,1371441,2264899,1559719,1240911,253379,65429
"1990:Q3","pct60to80",3604788,4507115,1484374,458079,234089,1093834,336838,899901,902326,648017,229803,24506
"1990:Q3","pct40to60",2653343,3110345,1024976,296152,148887,671080,273161,696087,457002,277785,169488,9729
"1990:Q3","pct20to40",1584256,1791442,698170,192758,53863,282529,123366,440756,207186,119005,82725,5456
"1990:Q3","pct00to20",710502,786573,285169,93414,39312,110756,90534,167388,76071,24387,46694,4990
"1990:Q4","pct99to100",3659374,3863340,626523,226937,585765,360691,902354,1161070,203966,148250,29476,26241
"1990:Q4","pct80to99",9116484,10689681,3034405,755779,847302,2367645,1356947,2327603,1573197,1250866,254904,67427
"1990:Q4","pct60to80",3676244,4602441,1494379,462885,242762,1143832,344517,914065,926197,664845,236763,24588
"1990:Q4","pct40to60",2673743,3137699,1021329,301826,155116,671476,271890,716062,463956,282641,170810,10505
"1990:Q4","pct20to40",1612755,1825805,706735,197593,62014,299269,117824,442371,213050,121023,86478,5548
"1990:Q4","pct00to20",701548,773341,287757,94100,37138,113783,71008,169555,71793,21631,45960,4202
"1991:Q1","pct99to100",3799073,4007971,631685,230708,661245,356057,975502,1152773,208897,161895,19292,27711
"1991:Q1","pct80to99",9426537,11019462,3072090,761094,1060896,2401119,1343470,2380793,1592925,1275478,249851,67596
"1991:Q1","pct60to80",3718885,4676390,1480491,467695,252338,1201929,348197,925740,957505,692843,239752,24910
