"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","pct99to100",17.2,15.5,7.8,14,35.6,7.1,28.7,18.1,4.7,4.5,3.3,16.4
"1989:Q3","pct80to99",43.6,44,44,36.8,44.6,46.6,47.7,42.1,46.9,51.9,31.6,54.5
"1989:Q3","pct60to80",16.7,18.1,20.5,22.9,11,22.9,9.6,16.6,26.8,25.8,31.6,17.1
"1989:Q3","pct40to60",12.2,12.4,14.5,13.2,5.8,14.8,8.3,12.3,13.5,11.6,20.4,4.3
"1989:Q3","pct20to40",7.4,7.2,9.7,9.1,2,6.1,4.3,8,6,5.1,8.9,3.8
"1989:Q3","pct00to20",2.9,2.7,3.5,4,1.1,2.5,1.5,2.8,2,1.1,4.2,3.9
"1989:Q4","pct99to100",17.3,15.7,8.1,13.4,34.4,7.1,29.4,18.6,5.2,5,3.8,16.8
"1989:Q4","pct80to99",43.6,44,44.2,36.7,45.2,46.9,46.9,41.8,46.9,52.2,31.1,52.9
"1989:Q4","pct60to80",16.6,18,20.3,22.9,11,22.7,9.9,16.5,27.4,26.7,31.1,17.4
"1989:Q4","pct40to60",12.3,12.4,14.3,13.5,6,14.5,8.3,12.4,13,10.8,20.5,5.1
"1989:Q4","pct20to40",7.4,7.2,9.5,9.3,2.3,6.3,4.1,7.9,5.9,4.7,9.5,3.9
"1989:Q4","pct00to20",2.9,2.8,3.5,4.2,1.1,2.5,1.4,2.8,1.7,0.7,4.1,3.9
"1990:Q1","pct99to100",17.1,15.5,8.3,12.4,33.2,7.2,29.2,19.1,5.2,5.1,3.2,17.6
"1990:Q1","pct80to99",43.1,43.6,43.4,36.9,44.4,47.2,46.1,41.3,46.5,51.3,31.5,52.5
"1990:Q1","pct60to80",16.9,18.2,20.6,22.9,11.7,22.8,10.3,16.4,27,26.4,30.4,17
"1990:Q1","pct40to60",12.4,12.5,14.3,14,6.7,14.2,8.5,12.4,13.3,11.3,20.5,5.7
"1990:Q1","pct20to40",7.5,7.3,9.6,9.5,2.6,6.2,4.1,7.9,6,4.9,9.5,3.9
"1990:Q1","pct00to20",3,2.9,3.6,4.4,1.4,2.4,1.8,2.9,2,1,4.9,3.3
"1990:Q2","pct99to100",17.4,15.7,8.6,12.2,33.8,7.4,29.1,19.4,5.4,5.4,3.1,18.2
"1990:Q2","pct80to99",42.9,43.4,43.7,36.8,43.1,46.9,46.3,41,46.7,51.6,31.2,51.4
"1990:Q2","pct60to80",16.8,18.2,20.4,22.8,12,23,10.2,16.3,27.3,26.9,30.4,17
"1990:Q2","pct40to60",12.4,12.4,14.2,14.1,6.8,14.1,8.4,12.5,12.8,10.7,20.5,6.3
"1990:Q2","pct20to40",7.5,7.2,9.5,9.7,2.7,6.1,4,8,5.8,4.6,9.9,4
"1990:Q2","pct00to20",3.1,2.9,3.7,4.6,1.5,2.4,2,2.9,1.8,0.7,4.9,3.1
"1990:Q3","pct99to100",16.8,15.3,8.5,11.3,31.3,7.5,28.1,20.2,5.6,5.6,3.7,17.9
"1990:Q3","pct80to99",42.5,43,42.9,37.1,41,47.9,44.9,40.4,46,50.7,31.2,48.8
"1990:Q3","pct60to80",17.2,18.5,20.7,22.7,13.6,22.6,11,16.1,26.6,26.5,28.3,18.3
"1990:Q3","pct40to60",12.6,12.7,14.3,14.7,8.7,13.9,8.9,12.4,13.5,11.4,20.9,7.3
"1990:Q3","pct20to40",7.5,7.3,9.7,9.6,3.1,5.8,4,7.9,6.1,4.9,10.2,4.1
"1990:Q3","pct00to20",3.4,3.2,4,4.6,2.3,2.3,3,3,2.2,1,5.7,3.7
"1990:Q4","pct99to100",17.1,15.5,8.7,11.1,30.3,7.3,29.4,20.3,5.9,6,3.6,18.9
"1990:Q4","pct80to99",42.5,42.9,42.3,37.1,43.9,47.8,44.3,40.6,45.6,50.3,30.9,48.7
"1990:Q4","pct60to80",17.1,18.5,20.8,22.7,12.6,23.1,11.2,16,26.8,26.7,28.7,17.8
"1990:Q4","pct40to60",12.5,12.6,14.2,14.8,8,13.5,8.9,12.5,13.4,11.4,20.7,7.6
"1990:Q4","pct20to40",7.5,7.3,9.9,9.7,3.2,6,3.8,7.7,6.2,4.9,10.5,4
"1990:Q4","pct00to20",3.3,3.1,4,4.6,1.9,2.3,2.3,3,2.1,0.9,5.6,3
"1991:Q1","pct99to100",17.3,15.7,8.8,11.2,29.5,7,31.7,19.9,6,6.4,2.4,19.6
"1991:Q1","pct80to99",42.9,43.3,42.6,36.8,47.4,47.2,43.7,41.1,45.9,50.4,31.1,47.8
"1991:Q1","pct60to80",16.9,18.4,20.5,22.6,11.3,23.6,11.3,16,27.6,27.4,29.9,17.6
"1991:Q1","pct40to60",12.3,12.4,14.1,14.8,7.2,13.3,8.6,12.5,12.8,10.7,20.4,8.2
"1991:Q1","pct20to40",7.5,7.3,9.8,10,3.2,6.4,3.5,7.6,5.9,4.6,10.5,4.1
"1991:Q1","pct00to20",3.1,3,4.2,4.7,1.5,2.4,1.1,2.9,1.8,0.5,5.7,2.7
"1991:Q2","pct99to100",17.1,15.6,8.7,11,29.2,7,31.3,19.9,6.1,6.6,2.3,20.3
"1991:Q2","pct80to99",42.7,43.1,42.5,36.8,46.7,47.5,43.4,40.9,45.8,50.3,31.1,46.9
"1991:Q2","pct60to80",16.9,18.3,20.4,22.5,11.6,23.2,11.5,16,27.4,27.3,29.3,17.6
"1991:Q2","pct40to60",12.4,12.4,14.1,15,7.5,13.3,8.7,12.5,12.9,10.7,20.5,8.6
"1991:Q2","pct20to40",7.6,7.4,9.8,10,3.4,6.5,3.5,7.7,6,4.6,10.8,4
"1991:Q2","pct00to20",3.3,3.1,4.5,4.8,1.6,2.4,1.5,3,1.9,0.6,6.1,2.5
"1991:Q3","pct99to100",17.1,15.6,8.8,10.8,29.6,7,31.6,19.8,6.2,6.5,2.1,22.5
"1991:Q3","pct80to99",42.6,43,41.7,36.9,46.9,47.4,43.3,41,45.4,49.7,30.8,48.1
"1991:Q3","pct60to80",17,18.3,20.7,22.5,11.3,22.9,11.6,16,26.5,26.3,29.1,15.8
"1991:Q3","pct40to60",12.3,12.4,14.2,15.1,7.3,13.3,8.7,12.6,13.4,11.5,20.6,8.1
"1991:Q3","pct20to40",7.6,7.4,10,10,3.4,6.8,3.4,7.7,6.3,4.9,11.3,3.8
"1991:Q3","pct00to20",3.3,3.2,4.7,4.6,1.5,2.5,1.5,3,2.2,1.1,6.1,1.8
"1991:Q4","pct99to100",17.3,15.8,8.5,10.9,30.3,6.9,33.1,19.3,6.4,6.6,2.1,24.3
"1991:Q4","pct80to99",43,43.3,41.7,36.8,48.8,47.3,42.8,41.7,45.3,49.6,30.3,49.4
"1991:Q4","pct60to80",16.8,18.1,20.5,22.5,10.2,23.2,11.8,15.9,26.2,26,29.3,14.1
"1991:Q4","pct40to60",12,12.2,14.2,15.1,6.4,13,8.6,12.6,13.5,11.7,20.7,7.6
"1991:Q4","pct20to40",7.5,7.4,10,10.1,3.2,7,3.1,7.6,6.4,5,11.8,3.7
"1991:Q4","pct00to20",3.3,3.1,5.1,4.6,1.1,2.6,0.7,3,2.2,1.2,5.7,0.8
"1992:Q1","pct99to100",17.2,15.7,8.7,10.8,29.6,7,32.9,19.3,6.3,6.6,1.6,25.7
"1992:Q1","pct80to99",42.9,43.3,42,36.7,48.5,47.7,42,41.3,45.6,50,30.4,46.6
"1992:Q1","pct60to80",17.1,18.3,20.3,22.3,10.5,23.5,12.2,16.1,25.5,25.5,28.1,13.9
"1992:Q1","pct40to60",11.9,12.2,14,15.4,6.8,12.6,8.7,12.5,13.5,11.6,21.1,8.2
"1992:Q1","pct20to40",7.5,7.3,9.9,10.1,3.4,6.8,3,7.7,6.5,4.9,12.3,3.9
