"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Top1",23.5,20.9,8.7,18.9,42.5,8.9,44.8,26,3.9,3.5,3.2,15.1
"1989:Q3","Next9",37.2,34.5,30,22.1,39.8,40.2,35,37.5,16.3,18,7.2,41.4
"1989:Q3","Next40",35.5,37.3,49.5,40.1,16.6,46.2,18.7,31.5,49.3,52.1,46.3,22.9
"1989:Q3","Bottom50",3.7,7.3,11.8,18.8,1.1,4.7,1.5,5,30.4,26.5,43.3,20.6
"1989:Q4","Top1",23.7,21.1,9,18.5,42.3,9,45,26.4,4.2,3.8,3.1,17.1
"1989:Q4","Next9",37.2,34.3,30.3,21.9,39.5,39.7,34.4,37.2,15.8,17.5,7.1,39
"1989:Q4","Next40",35.2,37.4,49.1,40.3,17,46.6,19.1,31.4,51.1,54.4,46.5,23.9
"1989:Q4","Bottom50",3.9,7.3,11.6,19.2,1.2,4.7,1.5,5.1,29,24.4,43.3,20
"1990:Q1","Top1",23.4,20.8,9.3,17.6,41.2,8.9,44.4,26.7,4.2,3.8,3.1,17.8
"1990:Q1","Next9",37,34.2,29.9,22.1,39.9,39.9,34.5,36.9,16.3,18,7.2,38.5
"1990:Q1","Next40",35.8,37.7,49.2,40.6,17.7,46.6,19.5,31.3,49.5,52.4,45.2,24.7
"1990:Q1","Bottom50",3.8,7.3,11.6,19.7,1.3,4.6,1.6,5.1,30,25.8,44.5,19
"1990:Q2","Top1",23.5,20.9,9.6,17.4,41.5,9,44.3,26.5,4.3,3.9,2.9,18.9
"1990:Q2","Next9",37.2,34.3,30.2,21.8,39.8,40.1,34.8,36.9,16.2,17.9,7.4,37.1
"1990:Q2","Next40",35.5,37.5,48.8,40.8,17.4,46.3,19.3,31.4,50.2,53.6,44.6,25.4
"1990:Q2","Bottom50",3.9,7.3,11.4,20.1,1.3,4.6,1.7,5.2,29.2,24.6,45.1,18.6
"1990:Q3","Top1",22.8,20.2,9.7,16.2,38.3,8.7,42.9,27.4,4.5,4,3.2,21.3
"1990:Q3","Next9",37.3,34.4,29.7,22.7,41.4,40.6,35.4,36.4,16.2,18.4,6.8,33.8
"1990:Q3","Next40",36,37.9,48.8,41.1,18.9,46.3,20,31,49.3,52.1,45,26
"1990:Q3","Bottom50",3.9,7.5,11.9,20.1,1.4,4.4,1.8,5.2,30,25.6,45.1,18.9
"1990:Q4","Top1",23.3,20.8,10.1,15.8,39.3,8.8,43.8,27.7,4.6,4.2,3,21.9
"1990:Q4","Next9",36.9,34,29.3,22.6,40.4,39.9,34.4,36.5,16.2,18.3,7,33.9
"1990:Q4","Next40",35.9,37.9,49,41.3,18.9,46.9,20.1,30.7,49.9,53,44.5,26.3
"1990:Q4","Bottom50",3.9,7.4,11.6,20.3,1.4,4.4,1.7,5.1,29.3,24.5,45.5,17.9
"1991:Q1","Top1",23.9,21.3,10.2,15.8,40.5,9,45.6,27.8,4.8,4.5,2.6,22.8
"1991:Q1","Next9",36.3,33.6,29.5,22,39.2,38.8,32.9,36.4,16.1,17.8,7.9,33
"1991:Q1","Next40",35.5,37.7,48.4,41.5,18.8,47.9,20,30.7,51.3,55.5,42.4,26.8
"1991:Q1","Bottom50",4.2,7.4,12,20.8,1.5,4.4,1.5,5.1,27.7,22.2,47.1,17.3
"1991:Q2","Top1",23.7,21.1,10.3,15.2,40.1,9.3,45.1,27.5,4.9,4.6,2.5,23.6
"1991:Q2","Next9",36.3,33.6,29.4,22.2,39.4,38.4,33.4,36.4,16.4,18.1,7.9,32.5
"1991:Q2","Next40",35.6,37.7,48,41.8,18.9,47.9,19.9,30.9,51,55.1,41.8,27
"1991:Q2","Bottom50",4.4,7.6,12.3,20.8,1.5,4.4,1.6,5.2,27.8,22.2,47.7,16.9
"1991:Q3","Top1",23.9,21.3,10.6,14.6,40.8,9.7,45.2,27.2,4.7,4.4,2.2,22.4
"1991:Q3","Next9",35.9,33.3,28.7,22.4,39,37.8,33.5,36.5,17.3,19.1,8.2,35.2
"1991:Q3","Next40",36,37.8,48.1,42.1,18.6,48.1,19.7,31.1,48.9,52.5,41.2,26.6
"1991:Q3","Bottom50",4.2,7.6,12.5,20.9,1.5,4.5,1.6,5.2,29.1,23.9,48.3,15.8
"1991:Q4","Top1",24.5,21.8,10.5,14.4,42.6,9.8,46.3,26.9,4.6,4.4,2,21.3
"1991:Q4","Next9",35.6,33.1,28.8,22.3,37.9,37.1,32.7,36.9,17.9,19.6,8.5,37.8
"1991:Q4","Next40",35.6,37.3,47.2,42.4,18,48.7,19.5,31,48.3,51.8,40.9,26.3
"1991:Q4","Bottom50",4.4,7.8,13.4,21,1.5,4.4,1.5,5.2,29.2,24.1,48.6,14.6
"1992:Q1","Top1",24.2,21.5,11,13.8,42.1,9.7,45.9,26.7,4.5,4.2,1.7,22.9
"1992:Q1","Next9",35.6,33.2,28.8,22.5,38,37.5,33.2,36.6,18.6,20.5,8.7,35.9
"1992:Q1","Next40",35.9,37.5,46.9,42.6,18.4,48.5,19.3,31.4,47.1,50.5,39.6,26.4
"1992:Q1","Bottom50",4.3,7.8,13.3,21,1.6,4.3,1.6,5.3,29.8,24.8,49.9,14.9
"1992:Q2","Top1",24.1,21.4,11.6,13.3,42.1,9.8,45.4,26.1,4.4,4.1,1.4,22.6
"1992:Q2","Next9",35.6,33.3,28.5,22.6,37.9,37.7,34.2,36.6,19.3,21.2,8.9,37.1
"1992:Q2","Next40",36.2,37.5,46.9,42.9,18.4,48.2,18.8,31.9,46.3,49.6,39,25.9
"1992:Q2","Bottom50",4.1,7.7,13,21.2,1.6,4.3,1.6,5.4,30.1,25.1,50.6,14.4
"1992:Q3","Top1",24.1,21.4,11.7,12.5,42.8,10.1,45.5,25.6,4.3,4.1,1.2,23.3
"1992:Q3","Next9",35.4,33.2,28,22.9,37.3,37.6,34.8,36.8,19.8,21.9,9,37
"1992:Q3","Next40",36.2,37.4,46.5,43.2,18.3,48.1,18.1,32.2,45,47.9,38.8,25.8
"1992:Q3","Bottom50",4.3,7.9,13.8,21.3,1.6,4.2,1.6,5.4,30.8,26.1,50.9,13.9
"1992:Q4","Top1",24.7,21.9,11.6,12.9,44,9.6,46.5,26.5,4.3,4.1,1.2,23.5
"1992:Q4","Next9",35.1,32.9,27.7,22.7,36.9,37.9,33.3,36.2,19.4,21.6,8.9,34.1
"1992:Q4","Next40",36.2,37.4,47,43,17.5,48.5,18.6,31.9,44.4,47.1,38.5,26.2
"1992:Q4","Bottom50",4,7.8,13.8,21.5,1.6,4.1,1.6,5.4,31.9,27.2,51.4,16.2
"1993:Q1","Top1",25.1,22.3,11.6,13.7,44.3,9.6,47.2,27.2,4.4,4.3,1,22.4
"1993:Q1","Next9",35,32.8,28.2,22,36.9,37.5,32.5,35.8,18.8,20.6,9.2,33.5
"1993:Q1","Next40",35.8,37.2,47,42.7,17.2,48.7,18.7,31.6,46.2,50.2,36.4,26.1
"1993:Q1","Bottom50",4,7.6,13.2,21.6,1.6,4.1,1.6,5.4,30.6,24.9,53.4,17.9
"1993:Q2","Top1",25.3,22.4,11.3,13.7,44.4,9.4,47.6,28.2,4.4,4.3,1,22.7
"1993:Q2","Next9",34.7,32.5,27.9,22,37,37.6,31.7,35,18.5,20.4,8.9,30.9
"1993:Q2","Next40",36,37.3,47.1,42.5,17.1,48.9,19,31.4,45.4,49.2,35.8,26.4
"1993:Q2","Bottom50",4,7.8,13.6,21.8,1.6,4.1,1.6,5.5,31.7,26.1,54.2,20
"1993:Q3","Top1",25.6,22.7,11.1,13.6,45,9.2,48.2,28.9,4.5,4.4,1.1,21.2
"1993:Q3","Next9",34.4,32.2,27.4,21.9,36.7,37.6,31.1,34.3,18.2,20,8.6,31.7
"1993:Q3","Next40",36.1,37.3,47.4,42.3,16.7,49,19.1,31.3,44.9,48.7,35.7,26.2
"1993:Q3","Bottom50",4,7.9,14,22.1,1.6,4.1,1.6,5.5,32.5,26.9,54.5,20.9
"1993:Q4","Top1",26,23,11,13.8,45.5,9,49.1,29.9,4.5,4.5,1.2,20.3
"1993:Q4","Next9",34.1,31.9,27.3,21.6,36.4,37.8,30.3,33.4,17.7,19.6,8.1,31.5
"1993:Q4","Next40",35.9,37.2,47.5,42.1,16.5,49.2,19.1,31.1,45.1,48.8,36.5,26.1
"1993:Q4","Bottom50",4,7.9,14.2,22.5,1.6,4.1,1.6,5.5,32.7,27.1,54.1,22.1
"1994:Q1","Top1",25.9,23,11,13.9,45.2,8.7,48.7,31,4.7,4.7,1.3,20.5
"1994:Q1","Next9",34.5,32,27.6,21.6,36.6,38.1,30.5,33.4,16.8,18.6,7.8,29.2
"1994:Q1","Next40",35.4,37,47.3,41.9,16.6,49,19.2,30.2,46.8,51.5,35.5,26.3
"1994:Q1","Bottom50",4.1,7.9,14.1,22.7,1.6,4.1,1.6,5.4,31.6,25.2,55.3,24
"1994:Q2","Top1",26,23,11,13.9,45.6,8.8,48.2,31.5,4.7,4.7,1.4,20.4
"1994:Q2","Next9",34.5,32,27.4,21.4,36.6,38.4,31.4,32.8,16.4,18.4,7.4,27.1
"1994:Q2","Next40",35.4,36.9,47.5,41.7,16.2,48.6,18.6,30.2,46.6,51,35.9,26.5
"1994:Q2","Bottom50",4.1,8,14.1,23,1.6,4.2,1.8,5.5,32.3,25.9,55.3,26
"1994:Q3","Top1",26.3,23.2,11,13.9,46.3,8.8,48.7,31.8,4.7,4.7,1.4,20.6
"1994:Q3","Next9",34.3,31.7,26.8,21.2,36.2,38.6,31.3,32.4,16.1,18.4,7.1,24.3
"1994:Q3","Next40",35.5,36.9,47.9,41.6,15.9,48.3,18.1,30.2,45.5,49.4,36.5,26.7
"1994:Q3","Bottom50",3.9,8.1,14.3,23.3,1.6,4.3,1.8,5.5,33.7,27.5,55,28.3
"1994:Q4","Top1",26.6,23.5,11.3,13.8,47,8.5,48.6,32.7,4.6,4.7,1.5,19.3
"1994:Q4","Next9",34.3,31.7,26.2,21.2,36,39.3,31.8,32,15.8,18.3,6.4,25
"1994:Q4","Next40",35.4,36.8,48.6,41.5,15.5,47.9,17.8,29.8,44.9,48.4,38,26.6
"1994:Q4","Bottom50",3.6,8.1,13.9,23.5,1.6,4.3,1.9,5.5,34.6,28.7,54.1,29.1
"1995:Q1","Top1",27.2,24,11.1,14.1,48.4,8.7,49.8,32.9,4.7,4.8,1.2,19.7
"1995:Q1","Next9",34.1,31.4,26.1,20.6,35.2,39.1,31.4,31.8,15.4,17.8,6.7,21.2
"1995:Q1","Next40",35.1,36.5,48.6,41.3,14.9,47.7,17,29.7,44.8,48.5,36.8,27.1
"1995:Q1","Bottom50",3.7,8.1,14.2,23.9,1.5,4.4,1.9,5.6,35.1,28.9,55.2,32
"1995:Q2","Top1",27.6,24.4,10.4,14.3,49.5,8.8,51.6,33.4,4.6,4.8,1.2,19.3
"1995:Q2","Next9",33.7,31,25.9,20.4,34.4,39,30.1,31.2,15.2,17.7,6.7,18.9
"1995:Q2","Next40",34.9,36.1,48.1,41.3,14.6,47.7,16.4,29.7,43.6,46.8,37,27.5
"1995:Q2","Bottom50",3.8,8.5,15.6,24.1,1.5,4.5,1.9,5.6,36.6,30.7,55.1,34.2
"1995:Q3","Top1",28.4,25,9.8,14.4,50.7,8.8,54,34.3,4.5,4.8,1.1,17.7
"1995:Q3","Next9",33.2,30.6,25.9,20.2,33.4,38.8,28.4,30.8,15.1,17.6,6.7,19.8
"1995:Q3","Next40",34.6,35.7,47.6,41.2,14.3,47.8,15.9,29.2,42.3,45,37.5,27.6
"1995:Q3","Bottom50",3.8,8.7,16.7,24.2,1.6,4.5,1.7,5.6,38,32.6,54.8,34.9
