"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","White",18523285,21089352,5992279,1643523,1973199,3925177,2658098,4897076,2566067,1826745,619890,119432
"1989:Q3","Black",778330,962139,337087,110896,16916,324442,38351,134448,183810,103698,78549,1563
"1989:Q3","Hispanic",419913,621735,264085,67280,14448,112568,56504,106850,201823,142706,46773,12344
"1989:Q3","Other",698376,879252,298501,74650,46902,111008,225463,122728,180877,137542,38995,4340
"1989:Q4","White",18859094,21445549,6059297,1659284,2028325,4026372,2685634,4986636,2586455,1821304,646747,118403
"1989:Q4","Black",791274,986986,337043,115100,19660,339043,39261,136878,195712,117997,75815,1901
"1989:Q4","Hispanic",407693,636333,266804,71119,13023,115980,59671,109736,228640,169311,47769,11561
"1989:Q4","Other",746246,942172,331173,80271,52542,119999,221230,136958,195926,151504,38954,5468
"1990:Q1","White",18950327,21600949,6190794,1693683,1912282,4072269,2689925,5041996,2650622,1897057,631389,122176
"1990:Q1","Black",798065,995838,325983,115497,20349,352469,41634,139907,197773,120928,74407,2439
"1990:Q1","Hispanic",413621,635846,253242,74835,9943,117589,65777,114460,222225,163545,47930,10750
"1990:Q1","Other",780311,978756,328114,83115,52039,137986,227463,150039,198445,153382,38595,6468
"1990:Q2","White",19088723,21756969,6189622,1706000,1978683,4138331,2681011,5063322,2668246,1909231,637249,121766
"1990:Q2","Black",822711,1034519,336790,120256,22071,364370,42927,148105,211808,134957,73984,2866
"1990:Q2","Hispanic",411351,656490,255408,77616,11268,123272,68698,120229,245140,186408,48863,9869
"1990:Q2","Other",848781,1059411,355047,88639,52245,160814,240846,161820,210630,164814,38616,7200
"1990:Q3","White",18873057,21625198,6274899,1727310,1645631,4163598,2670559,5143201,2752141,1976941,660353,114848
"1990:Q3","Black",837740,1040883,327528,117534,20336,376702,48586,150197,203143,132842,67274,3026
